timestamp,strike,type,side,price,trade_pnl,underlier
2022-11-10 10:46:51,41600,PE,BUY,141.6,,BANKNIFTY
2022-11-10 10:46:52,41600,CE,SELL,53.75,0.5499999999999972,BANKNIFTY
2022-11-10 10:46:52,41600,PE,SELL,141.25,-0.3499999999999943,BANKNIFTY
2022-11-10 10:46:52,41700,CE,BUY,27.7,,BANKNIFTY
2022-11-10 10:46:52,41700,PE,BUY,215.9,,BANKNIFTY
2022-11-10 10:46:59,41700,CE,SELL,27.6,-0.09999999999999787,BANKNIFTY
2022-11-10 10:46:59,41700,PE,SELL,216.25,0.3499999999999943,BANKNIFTY
2022-11-10 10:46:59,41600,CE,BUY,53.55,,BANKNIFTY
2022-11-10 10:46:59,41600,PE,BUY,142.1,,BANKNIFTY
2022-11-10 10:47:00,41600,CE,SELL,53.6,0.05000000000000426,BANKNIFTY
2022-11-10 10:47:00,41600,PE,SELL,141.9,-0.19999999999998863,BANKNIFTY
2022-11-10 10:47:00,41700,CE,BUY,27.65,,BANKNIFTY
2022-11-10 10:47:00,41700,PE,BUY,216.8,,BANKNIFTY
2022-11-10 10:47:02,41700,CE,SELL,27.65,0.0,BANKNIFTY
2022-11-10 10:47:02,41700,PE,SELL,216.8,0.0,BANKNIFTY
2022-11-10 10:47:02,41600,CE,BUY,53.65,,BANKNIFTY
2022-11-10 10:47:02,41600,PE,BUY,142.65,,BANKNIFTY
2022-11-10 10:47:07,41600,CE,SELL,52.35,-1.2999999999999972,BANKNIFTY
2022-11-10 10:47:07,41600,PE,SELL,144.95,2.299999999999983,BANKNIFTY
2022-11-10 10:47:07,41700,CE,BUY,27.0,,BANKNIFTY
2022-11-10 10:47:07,41700,PE,BUY,220.85,,BANKNIFTY
2022-11-10 10:47:12,41700,CE,SELL,27.0,0.0,BANKNIFTY
2022-11-10 10:47:12,41700,PE,SELL,220.35,-0.5,BANKNIFTY
2022-11-10 10:47:12,41600,CE,BUY,52.15,,BANKNIFTY
2022-11-10 10:47:12,41600,PE,BUY,145.65,,BANKNIFTY
2022-11-10 12:03:13,41600,CE,SELL,18.05,-34.099999999999994,BANKNIFTY
2022-11-10 12:03:13,41600,PE,SELL,209.95,64.29999999999998,BANKNIFTY
2022-11-10 12:03:13,41500,CE,BUY,40.0,,BANKNIFTY
2022-11-10 12:03:13,41500,PE,BUY,130.0,,BANKNIFTY
2022-11-10 12:03:35,41500,CE,SELL,43.5,3.5,BANKNIFTY
2022-11-10 12:03:35,41500,PE,SELL,124.4,-5.599999999999994,BANKNIFTY
2022-11-10 12:03:35,41600,CE,BUY,19.85,,BANKNIFTY
2022-11-10 12:03:35,41600,PE,BUY,200.25,,BANKNIFTY
2022-11-10 12:03:36,41600,CE,SELL,19.5,-0.3500000000000014,BANKNIFTY
2022-11-10 12:03:36,41600,PE,SELL,200.5,0.25,BANKNIFTY
2022-11-10 12:03:36,41500,CE,BUY,43.4,,BANKNIFTY
2022-11-10 12:03:36,41500,PE,BUY,126.8,,BANKNIFTY
2022-11-10 12:03:58,41500,CE,SELL,43.35,-0.04999999999999716,BANKNIFTY
2022-11-10 12:03:58,41500,PE,SELL,123.5,-3.299999999999997,BANKNIFTY
2022-11-10 12:03:58,41600,CE,BUY,19.7,,BANKNIFTY
2022-11-10 12:03:58,41600,PE,BUY,200.3,,BANKNIFTY
2022-11-10 12:04:00,41600,CE,SELL,19.85,0.15000000000000213,BANKNIFTY
2022-11-10 12:04:00,41600,PE,SELL,199.15,-1.1500000000000057,BANKNIFTY
2022-11-10 12:04:00,41500,CE,BUY,44.25,,BANKNIFTY
2022-11-10 12:04:00,41500,PE,BUY,121.5,,BANKNIFTY
2022-11-10 12:04:39,41500,CE,SELL,42.75,-1.5,BANKNIFTY
2022-11-10 12:04:39,41500,PE,SELL,125.85,4.349999999999994,BANKNIFTY
2022-11-10 12:04:39,41600,CE,BUY,19.9,,BANKNIFTY
2022-11-10 12:04:39,41600,PE,BUY,202.55,,BANKNIFTY
2022-11-10 12:04:43,41600,CE,SELL,19.55,-0.34999999999999787,BANKNIFTY
2022-11-10 12:04:43,41600,PE,SELL,206.95,4.399999999999977,BANKNIFTY
2022-11-10 12:04:43,41500,CE,BUY,41.95,,BANKNIFTY
2022-11-10 12:04:43,41500,PE,BUY,129.15,,BANKNIFTY
2022-11-10 12:05:11,41500,CE,SELL,43.35,1.3999999999999986,BANKNIFTY
2022-11-10 12:05:11,41500,PE,SELL,124.05,-5.1000000000000085,BANKNIFTY
2022-11-10 12:05:11,41600,CE,BUY,20.2,,BANKNIFTY
2022-11-10 12:05:11,41600,PE,BUY,200.8,,BANKNIFTY
2022-11-10 12:06:01,41600,CE,SELL,20.6,0.40000000000000213,BANKNIFTY
2022-11-10 12:06:01,41600,PE,SELL,207.65,6.849999999999994,BANKNIFTY
2022-11-10 12:06:01,41500,CE,BUY,42.9,,BANKNIFTY
2022-11-10 12:06:01,41500,PE,BUY,129.45,,BANKNIFTY
2022-11-10 12:06:49,41500,CE,SELL,43.2,0.30000000000000426,BANKNIFTY
2022-11-10 12:06:49,41500,PE,SELL,125.0,-4.449999999999989,BANKNIFTY
2022-11-10 12:06:49,41600,CE,BUY,20.35,,BANKNIFTY
2022-11-10 12:06:49,41600,PE,BUY,200.8,,BANKNIFTY
2022-11-10 12:06:56,41600,CE,SELL,20.7,0.34999999999999787,BANKNIFTY
2022-11-10 12:06:56,41600,PE,SELL,200.05,-0.75,BANKNIFTY
2022-11-10 12:06:56,41500,CE,BUY,43.8,,BANKNIFTY
2022-11-10 12:06:56,41500,PE,BUY,123.0,,BANKNIFTY
2022-11-10 12:06:57,41500,CE,SELL,43.85,0.05000000000000426,BANKNIFTY
2022-11-10 12:06:57,41500,PE,SELL,122.85,-0.15000000000000568,BANKNIFTY
2022-11-10 12:06:57,41600,CE,BUY,20.7,,BANKNIFTY
2022-11-10 12:06:57,41600,PE,BUY,200.25,,BANKNIFTY
2022-11-10 12:07:16,41600,CE,SELL,20.4,-0.3000000000000007,BANKNIFTY
2022-11-10 12:07:16,41600,PE,SELL,201.2,0.9499999999999886,BANKNIFTY
2022-11-10 12:07:16,41500,CE,BUY,43.65,,BANKNIFTY
2022-11-10 12:07:16,41500,PE,BUY,124.75,,BANKNIFTY
2022-11-10 12:07:17,41500,CE,SELL,43.9,0.25,BANKNIFTY
2022-11-10 12:07:17,41500,PE,SELL,124.75,0.0,BANKNIFTY
2022-11-10 12:07:17,41600,CE,BUY,20.65,,BANKNIFTY
2022-11-10 12:07:17,41600,PE,BUY,200.6,,BANKNIFTY
2022-11-10 12:08:03,41600,CE,SELL,20.4,-0.25,BANKNIFTY
2022-11-10 12:08:03,41600,PE,SELL,202.7,2.0999999999999943,BANKNIFTY
2022-11-10 12:08:03,41500,CE,BUY,43.1,,BANKNIFTY
2022-11-10 12:08:03,41500,PE,BUY,125.9,,BANKNIFTY
2022-11-10 12:08:05,41500,CE,SELL,43.9,0.7999999999999972,BANKNIFTY
2022-11-10 12:08:05,41500,PE,SELL,123.6,-2.3000000000000114,BANKNIFTY
2022-11-10 12:08:05,41600,CE,BUY,20.8,,BANKNIFTY
2022-11-10 12:08:05,41600,PE,BUY,201.3,,BANKNIFTY
